year,ngram,n,abs,per_million,seed_terms,category
1929,verbrecher links,2,1,8.1,verbrecher,Dehumanisierung
1929,einschluß nationalsozialist,2,1,8.1,nationalsozialist,NS-Terminologie
1929,verpassen volksgenossen,2,1,8.1,volksgenossen,NS-Terminologie
1929,januar jude,2,1,8.1,jude,Ethnisierung
1929,jüdisch klammer,2,1,8.1,jüdisch,Ethnisierung
1929,jude hakenkreuzler,2,1,8.1,jude,Ethnisierung
1929,vorne jude,2,1,8.1,jude,Ethnisierung
1929,jude treiben,2,1,8.1,jude,Ethnisierung
1929,volksausbeutung jude,2,1,8.1,jude,Ethnisierung
1929,jude erfinden,2,1,8.1,jude,Ethnisierung
1929,nationalsozialist vorauszusehen,2,1,8.1,nationalsozialist,NS-Terminologie
1929,jüdisch pirat,2,1,8.1,jüdisch,Ethnisierung
1929,flagge jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,solange jude,2,1,8.1,jude,Ethnisierung
1929,jüdisch expansion,2,1,8.1,jüdisch,Ethnisierung
1929,jüdisch verjudet,2,1,8.1,jüdisch,Ethnisierung
1929,befördert jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,jüdisch führung,2,1,8.1,jüdisch,Ethnisierung
1929,arbeiter jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,jüdisch materialismus,2,1,8.1,jüdisch,Ethnisierung
1929,nationalsozialist zunehmen,2,1,8.1,nationalsozialist,NS-Terminologie
1929,gifte jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,verbrecher gerechtigkeit,2,1,8.1,verbrecher,Dehumanisierung
1929,anwachsen nationalsozialist,2,1,8.1,nationalsozialist,NS-Terminologie
1929,nationalsozialist bayern,2,1,8.1,nationalsozialist,NS-Terminologie
1929,bedürfen jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,jüdisch reklame,2,1,8.1,jüdisch,Ethnisierung
1929,jüdisch weltbörse,2,1,8.1,jüdisch,Ethnisierung
1929,geldkönige jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,jüdisch bankentrust,2,1,8.1,jüdisch,Ethnisierung
1929,industrie jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,jüdisch börsentrust,2,1,8.1,jüdisch,Ethnisierung
1929,jüdisch börsianerlager,2,1,8.1,jüdisch,Ethnisierung
1929,gemüt jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,stahlhelm front,2,1,8.1,stahlhelm,NS-Terminologie
1929,weshalb jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,erklären jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,jüdisch neujahrsfest,2,1,8.1,jüdisch,Ethnisierung
1929,aufstieg nationalsozialist,2,1,8.1,nationalsozialist,NS-Terminologie
1929,hilferding jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,jüdisch neujahrstelegramm,2,1,8.1,jüdisch,Ethnisierung
1929,gebühr jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,jude versicherungsanstalt,2,1,8.1,jude,Ethnisierung
1929,entlarvung jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,zufall verbrecher,2,1,8.1,verbrecher,Dehumanisierung
1929,jude million,2,1,8.1,jude,Ethnisierung
1929,gerieben jude,2,1,8.1,jude,Ethnisierung
1929,jude rathenau,2,1,8.1,jude,Ethnisierung
1929,jüdisch zeitungsmischpoke,2,1,8.1,jüdisch,Ethnisierung
1929,weisen jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,jüdisch quellenmaterial,2,1,8.1,jüdisch,Ethnisierung
1929,berliner judenpresse,2,1,8.1,judenpresse,Ethnisierung
1929,judenpresse ernennen,2,1,8.1,judenpresse,Ethnisierung
1929,eingehen jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,jüdisch finanzgebahren,2,1,8.1,jüdisch,Ethnisierung
1929,finanzkünste jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,wirkung volksverräter,2,1,8.1,volksverräter,Dehumanisierung
1929,volksverräter abzuschwächen,2,1,8.1,volksverräter,Dehumanisierung
1929,holländer jude,2,1,8.1,jude,Ethnisierung
1929,jude börsenbaron,2,1,8.1,jude,Ethnisierung
1929,siehst jude,2,1,8.1,jude,Ethnisierung
1929,jude hineinwillst,2,1,8.1,jude,Ethnisierung
1929,käufer jude,2,1,8.1,jude,Ethnisierung
1929,volksgenossen zeigen,2,1,8.1,volksgenossen,NS-Terminologie
1929,billigen jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,rißmüller jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,lobeshymn jude,2,1,8.1,jude,Ethnisierung
1929,nationalsozialist vorderer,2,1,8.1,nationalsozialist,NS-Terminologie
1929,jude walter,2,1,8.1,jude,Ethnisierung
1929,bedeuten nationalsozialist,2,1,8.1,nationalsozialist,NS-Terminologie
1929,nationalsozialistisch parteitag,2,1,8.1,nationalsozialistisch,NS-Terminologie
1929,film nationalsozialistisch,2,1,8.1,nationalsozialistisch,NS-Terminologie
1929,gewinn nationalsozialist,2,1,8.1,nationalsozialist,NS-Terminologie
1929,jüdisch revolte,2,1,8.1,jüdisch,Ethnisierung
1929,ertragen jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,stahlhelm deutschnationalen,2,1,8.1,stahlhelm,NS-Terminologie
1929,vertreter stahlhelm,2,1,8.1,stahlhelm,NS-Terminologie
1929,nationalsozialist beiseitestellung,2,1,8.1,nationalsozialist,NS-Terminologie
1929,woche nationalsozialist,2,1,8.1,nationalsozialist,NS-Terminologie
1929,nationalsozialist judenpresse,2,1,8.1,"nationalsozialist, judenpresse","NS-Terminologie, Ethnisierung"
1929,judenpresse gerne,2,1,8.1,judenpresse,Ethnisierung
1929,reichstag jude,2,1,8.1,jude,Ethnisierung
1929,jude meiden,2,1,8.1,jude,Ethnisierung
1929,erinnerung jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,jüdisch minister,2,1,8.1,jüdisch,Ethnisierung
1929,richten jude,2,1,8.1,jude,Ethnisierung
1929,jude samson,2,1,8.1,jude,Ethnisierung
1929,nationalsozialist reihe,2,1,8.1,nationalsozialist,NS-Terminologie
1929,erscheinung verbrecher,2,1,8.1,verbrecher,Dehumanisierung
1929,tasche jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,verbrecher aufruf,2,1,8.1,verbrecher,Dehumanisierung
1929,erkennen verbrecher,2,1,8.1,verbrecher,Dehumanisierung
1929,nationalsozialist attentat,2,1,8.1,nationalsozialist,NS-Terminologie
1929,judenzeitung nationalsozialist,2,1,8.1,nationalsozialist,NS-Terminologie
1929,nordisch rasse,2,1,8.1,rasse,NS-Terminologie
