transition,term,abs_a,abs_b,pmio_a,pmio_b,pmio_diff,g2,direction,rank_aufsteiger,rank_absteiger
1929→1930,interesse,123,313,995.98,1175.64,179.66,-2.4882,Aufsteiger,2519,8066
1929→1930,hinaus,33,97,267.22,364.33,97.11,-2.4844,Aufsteiger,2520,8065
1929→1930,etage,9,34,72.88,127.7,54.82,-2.4792,Aufsteiger,2521,8063
1929→1930,gemeinheit,9,34,72.88,127.7,54.82,-2.4792,Aufsteiger,2521,8063
1929→1930,praxis,13,45,105.27,169.02,63.75,-2.4545,Aufsteiger,2523,8061
1929→1930,zugeben,13,45,105.27,169.02,63.75,-2.4545,Aufsteiger,2523,8061
1929→1930,verkünden,8,31,64.78,116.44,51.66,-2.4353,Aufsteiger,2525,8058
1929→1930,erlassen,8,31,64.78,116.44,51.66,-2.4353,Aufsteiger,2525,8058
1929→1930,aufwertung,8,31,64.78,116.44,51.66,-2.4353,Aufsteiger,2525,8058
1929→1930,jeglicher,4,19,32.39,71.36,38.97,-2.4213,Aufsteiger,2528,8043
1929→1930,auslegung,4,19,32.39,71.36,38.97,-2.4213,Aufsteiger,2528,8043
1929→1930,groener,4,19,32.39,71.36,38.97,-2.4213,Aufsteiger,2528,8043
1929→1930,unlauter,4,19,32.39,71.36,38.97,-2.4213,Aufsteiger,2528,8043
1929→1930,enorm,4,19,32.39,71.36,38.97,-2.4213,Aufsteiger,2528,8043
1929→1930,union,4,19,32.39,71.36,38.97,-2.4213,Aufsteiger,2528,8043
1929→1930,entschließung,4,19,32.39,71.36,38.97,-2.4213,Aufsteiger,2528,8043
1929→1930,kehren,4,19,32.39,71.36,38.97,-2.4213,Aufsteiger,2528,8043
1929→1930,konsumvereine,4,19,32.39,71.36,38.97,-2.4213,Aufsteiger,2528,8043
1929→1930,heiß,4,19,32.39,71.36,38.97,-2.4213,Aufsteiger,2528,8043
1929→1930,vermutung,4,19,32.39,71.36,38.97,-2.4213,Aufsteiger,2528,8043
1929→1930,versprechung,4,19,32.39,71.36,38.97,-2.4213,Aufsteiger,2528,8043
1929→1930,technisch,4,19,32.39,71.36,38.97,-2.4213,Aufsteiger,2528,8043
1929→1930,entlastung,4,19,32.39,71.36,38.97,-2.4213,Aufsteiger,2528,8043
1929→1930,staatsministerium,4,19,32.39,71.36,38.97,-2.4213,Aufsteiger,2528,8043
1929→1930,dezember,40,114,323.9,428.19,104.29,-2.4083,Aufsteiger,2543,8042
1929→1930,charakter,21,66,170.05,247.9,77.85,-2.4073,Aufsteiger,2544,8041
1929→1930,gleichfalls,7,28,56.68,105.17,48.49,-2.4017,Aufsteiger,2545,8035
1929→1930,bestreben,7,28,56.68,105.17,48.49,-2.4017,Aufsteiger,2545,8035
1929→1930,teils,7,28,56.68,105.17,48.49,-2.4017,Aufsteiger,2545,8035
1929→1930,erstatten,7,28,56.68,105.17,48.49,-2.4017,Aufsteiger,2545,8035
1929→1930,anbieten,7,28,56.68,105.17,48.49,-2.4017,Aufsteiger,2545,8035
1929→1930,ablehnung,7,28,56.68,105.17,48.49,-2.4017,Aufsteiger,2545,8035
1929→1930,unabhängig,32,94,259.12,353.07,93.95,-2.3984,Aufsteiger,2551,8034
1929→1930,land,135,340,1093.15,1277.05,183.9,-2.3901,Aufsteiger,2552,8033
1929→1930,zurückweisen,5,22,40.49,82.63,42.14,-2.385,Aufsteiger,2553,8026
1929→1930,herbst,5,22,40.49,82.63,42.14,-2.385,Aufsteiger,2553,8026
1929→1930,abwarten,5,22,40.49,82.63,42.14,-2.385,Aufsteiger,2553,8026
1929→1930,schauspieler,5,22,40.49,82.63,42.14,-2.385,Aufsteiger,2553,8026
1929→1930,überweisen,5,22,40.49,82.63,42.14,-2.385,Aufsteiger,2553,8026
1929→1930,allerlei,5,22,40.49,82.63,42.14,-2.385,Aufsteiger,2553,8026
1929→1930,gesichtspunkt,5,22,40.49,82.63,42.14,-2.385,Aufsteiger,2553,8026
1929→1930,finanzamt,12,42,97.17,157.75,60.58,-2.3843,Aufsteiger,2560,8023
1929→1930,zuständig,12,42,97.17,157.75,60.58,-2.3843,Aufsteiger,2560,8023
1929→1930,besuchen,12,42,97.17,157.75,60.58,-2.3843,Aufsteiger,2560,8023
1929→1930,schein,6,25,48.58,93.9,45.32,-2.3826,Aufsteiger,2563,8019
1929→1930,wahren,6,25,48.58,93.9,45.32,-2.3826,Aufsteiger,2563,8019
1929→1930,voraus,6,25,48.58,93.9,45.32,-2.3826,Aufsteiger,2563,8019
1929→1930,dollar,6,25,48.58,93.9,45.32,-2.3826,Aufsteiger,2563,8019
1929→1930,praktisch,23,71,186.24,266.68,80.44,-2.3726,Aufsteiger,2567,8018
1929→1930,abend,25,76,202.44,285.46,83.02,-2.3474,Aufsteiger,2568,8017
1929→1930,herausgeber,11,39,89.07,146.48,57.41,-2.3168,Aufsteiger,2569,8016
1929→1930,ergeben,35,101,283.41,379.36,95.95,-2.3121,Aufsteiger,2570,8015
1929→1930,rechtfertigen,17,55,137.66,206.58,68.92,-2.2892,Aufsteiger,2571,8014
1929→1930,bonz,14,47,113.36,176.53,63.17,-2.2813,Aufsteiger,2572,8011
1929→1930,derart,14,47,113.36,176.53,63.17,-2.2813,Aufsteiger,2572,8011
1929→1930,tochter,14,47,113.36,176.53,63.17,-2.2813,Aufsteiger,2572,8011
1929→1930,prag,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,tüchtigkeit,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,rosenberg,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,verblendung,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,atelier,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,hauptbahnhof,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,linke,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,erwischen,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,ehemann,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,unberechtigt,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,hinterher,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,landvolk,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,motor,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,gehend,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,deutlichkeit,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,goethe,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,einfallen,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,preßgesetzlich,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,bausparkasse,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,mainz,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,existieren,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,deutschfeindlich,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,beerdigung,2,12,16.19,45.07,28.88,-2.2596,Aufsteiger,2575,7988
1929→1930,tätig,10,36,80.97,135.22,54.25,-2.2527,Aufsteiger,2598,7986
1929→1930,kürschner,10,36,80.97,135.22,54.25,-2.2527,Aufsteiger,2598,7986
1929→1930,zusammenhang,19,60,153.85,225.36,71.51,-2.2382,Aufsteiger,2600,7985
1929→1930,sprechen,122,308,987.89,1156.86,168.97,-2.2295,Aufsteiger,2601,7984
1929→1930,verteidigen,13,44,105.27,165.27,60.0,-2.2049,Aufsteiger,2602,7983
1929→1930,wucher,9,33,72.88,123.95,51.07,-2.193,Aufsteiger,2603,7975
1929→1930,darstellung,9,33,72.88,123.95,51.07,-2.193,Aufsteiger,2603,7975
1929→1930,bescheid,9,33,72.88,123.95,51.07,-2.193,Aufsteiger,2603,7975
1929→1930,bemerkung,9,33,72.88,123.95,51.07,-2.193,Aufsteiger,2603,7975
1929→1930,beinahe,9,33,72.88,123.95,51.07,-2.193,Aufsteiger,2603,7975
1929→1930,musik,9,33,72.88,123.95,51.07,-2.193,Aufsteiger,2603,7975
1929→1930,protest,9,33,72.88,123.95,51.07,-2.193,Aufsteiger,2603,7975
1929→1930,vergeben,9,33,72.88,123.95,51.07,-2.193,Aufsteiger,2603,7975
1929→1930,außerordentlich,18,57,145.75,214.09,68.34,-2.154,Aufsteiger,2611,7972
1929→1930,buchdruckerei,18,57,145.75,214.09,68.34,-2.154,Aufsteiger,2611,7972
1929→1930,vielmehr,18,57,145.75,214.09,68.34,-2.154,Aufsteiger,2611,7972
1929→1930,hunger,8,30,64.78,112.68,47.9,-2.139,Aufsteiger,2614,7967
1929→1930,zuletzt,8,30,64.78,112.68,47.9,-2.139,Aufsteiger,2614,7967
1929→1930,namentlich,8,30,64.78,112.68,47.9,-2.139,Aufsteiger,2614,7967
1929→1930,grundstück,8,30,64.78,112.68,47.9,-2.139,Aufsteiger,2614,7967
1929→1930,spalte,8,30,64.78,112.68,47.9,-2.139,Aufsteiger,2614,7967
1929→1930,neue,12,41,97.17,154.0,56.83,-2.1302,Aufsteiger,2619,7966
1929→1930,privat,15,49,121.46,184.05,62.59,-2.1261,Aufsteiger,2620,7965
1929→1930,verwickeln,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,stahl,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,tödlich,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,kardinal,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,bezeugen,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,koscher,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,unterlassung,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,küchenschränk,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,kerker,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,mentalität,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,sollten,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,rechtspfleg,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,schätzung,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,beginnend,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,waschtisch,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,pflaume,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,konrad,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,verelendung,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,lindemann,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,tragik,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,nichtjüdisch,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,anschuldigung,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,reichsfinanze,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,gegeneinander,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,einreihen,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,invalide,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,mischpoche,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,freisprechung,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,markieren,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,hegen,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,sicht,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,tapferkeit,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,versteigern,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,anschluss,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,haftbefehl,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,kruse,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,kompromiß,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,wirksamkeit,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,hebamme,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,angeboten,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
