transition,term,abs_a,abs_b,pmio_a,pmio_b,pmio_diff,g2,direction,rank_aufsteiger,rank_absteiger
1930→1931,zahl,103,93,386.87,703.88,317.01,-17.0907,Aufsteiger,171,10586
1930→1931,eintragung,8,20,30.05,151.37,121.32,-17.0905,Aufsteiger,172,10585
1930→1931,befreien,16,28,60.1,211.92,151.82,-17.0173,Aufsteiger,173,10584
1930→1931,schaffen,157,128,589.7,968.78,379.08,-16.9341,Aufsteiger,174,10583
1930→1931,patient,40,48,150.24,363.29,213.05,-16.9234,Aufsteiger,175,10582
1930→1931,kommen,231,174,867.64,1316.93,449.29,-16.8495,Aufsteiger,176,10581
1930→1931,wohnungseinrichtung,4,15,15.02,113.53,98.51,-16.7763,Aufsteiger,177,10580
1930→1931,mutter,59,62,221.61,469.25,247.64,-16.7375,Aufsteiger,178,10579
1930→1931,oberleutnant,2,12,7.51,90.82,83.31,-16.6161,Aufsteiger,179,10575
1930→1931,hütte,2,12,7.51,90.82,83.31,-16.6161,Aufsteiger,179,10575
1930→1931,rönker,2,12,7.51,90.82,83.31,-16.6161,Aufsteiger,179,10575
1930→1931,sanatorium,2,12,7.51,90.82,83.31,-16.6161,Aufsteiger,179,10575
1930→1931,gerste,51,56,191.56,423.84,232.28,-16.6133,Aufsteiger,183,10574
1930→1931,braugerste,61,63,229.12,476.82,247.7,-16.3556,Aufsteiger,184,10573
1930→1931,emslandbauer,5,16,18.78,121.1,102.32,-16.2937,Aufsteiger,185,10572
1930→1931,hegerstraße,1,10,3.76,75.69,71.93,-16.1768,Aufsteiger,186,10568
1930→1931,medikament,1,10,3.76,75.69,71.93,-16.1768,Aufsteiger,186,10568
1930→1931,donner,1,10,3.76,75.69,71.93,-16.1768,Aufsteiger,186,10568
1930→1931,schlief,1,10,3.76,75.69,71.93,-16.1768,Aufsteiger,186,10568
1930→1931,bauer,102,91,383.11,688.74,305.63,-16.1454,Aufsteiger,190,10567
1930→1931,behandlung,49,54,184.05,408.7,224.65,-16.1409,Aufsteiger,191,10566
1930→1931,bloß,44,50,165.27,378.43,213.16,-15.8989,Aufsteiger,192,10565
1930→1931,elend,66,66,247.9,499.53,251.63,-15.8845,Aufsteiger,193,10564
1930→1931,fort,55,58,206.58,438.98,232.4,-15.7797,Aufsteiger,194,10563
1930→1931,herberge,3,13,11.27,98.39,87.12,-15.6701,Aufsteiger,195,10559
1930→1931,gutachter,3,13,11.27,98.39,87.12,-15.6701,Aufsteiger,195,10559
1930→1931,heilmann,3,13,11.27,98.39,87.12,-15.6701,Aufsteiger,195,10559
1930→1931,hörsing,3,13,11.27,98.39,87.12,-15.6701,Aufsteiger,195,10559
1930→1931,bauleitung,9,20,33.8,151.37,117.57,-15.4756,Aufsteiger,199,10558
1930→1931,erkältungskrankheit,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,erwerbsminderung,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,bauske,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,dreißigjährig,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,atemnot,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,lagewert,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,nichtstaatlich,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,herauf,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,zentralistisch,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,kellersee,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,cromwell,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,grünberg,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,industrielle,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,schupos,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,tabakindustrie,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,buntspecht,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,fritzchen,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,beschädigte,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,buchhdl,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,dorfe,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,paukenschlag,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,brett,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,saesche,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,hegerstraß,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,femehetze,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,mandelentzündung,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,rentenerhöhung,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,nowak,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,luisenplatz,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,leihgeld,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,bach,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,choral,0,7,0.0,52.98,52.98,-15.4509,Aufsteiger,200,10526
1930→1931,währung,12,23,45.07,174.08,129.01,-15.4353,Aufsteiger,232,10525
1930→1931,zinslos,11,22,41.32,166.51,125.19,-15.416,Aufsteiger,233,10524
1930→1931,preußisch,182,141,683.6,1067.17,383.57,-15.3602,Aufsteiger,234,10523
1930→1931,fahren,119,101,446.97,764.43,317.46,-15.3366,Aufsteiger,235,10522
1930→1931,peter,4,14,15.02,105.96,90.94,-15.0564,Aufsteiger,236,10520
1930→1931,emslande,4,14,15.02,105.96,90.94,-15.0564,Aufsteiger,236,10520
1930→1931,auge,190,145,713.64,1097.45,383.81,-14.8459,Aufsteiger,238,10519
1930→1931,bassoth,2,11,7.51,83.25,75.74,-14.7296,Aufsteiger,239,10515
1930→1931,löffel,2,11,7.51,83.25,75.74,-14.7296,Aufsteiger,239,10515
1930→1931,munition,2,11,7.51,83.25,75.74,-14.7296,Aufsteiger,239,10515
1930→1931,denkmal,2,11,7.51,83.25,75.74,-14.7296,Aufsteiger,239,10515
1930→1931,sitzen,141,114,529.6,862.82,333.22,-14.6318,Aufsteiger,243,10514
1930→1931,unten,24,33,90.14,249.76,159.62,-14.5919,Aufsteiger,244,10513
1930→1931,apotheke,16,26,60.1,196.78,136.68,-14.4645,Aufsteiger,245,10512
1930→1931,fördernd,6,16,22.54,121.1,98.56,-14.3704,Aufsteiger,246,10509
1930→1931,bentheim,6,16,22.54,121.1,98.56,-14.3704,Aufsteiger,246,10509
1930→1931,knochenbau,6,16,22.54,121.1,98.56,-14.3704,Aufsteiger,246,10509
1930→1931,drittel,15,25,56.34,189.21,132.87,-14.3465,Aufsteiger,249,10508
1930→1931,retten,45,49,169.02,370.86,201.84,-14.2842,Aufsteiger,250,10507
1930→1931,kapital,41,46,154.0,348.16,194.16,-14.2597,Aufsteiger,251,10506
1930→1931,gehen,131,107,492.04,809.84,317.8,-14.2479,Aufsteiger,252,10505
1930→1931,buch,128,105,480.77,794.7,313.93,-14.1967,Aufsteiger,253,10504
1930→1931,französisch,52,54,195.31,408.7,213.39,-14.1943,Aufsteiger,254,10503
1930→1931,ähnl,1,9,3.76,68.12,64.36,-14.1698,Aufsteiger,255,10499
1930→1931,sowjet,1,9,3.76,68.12,64.36,-14.1698,Aufsteiger,255,10499
1930→1931,buck,1,9,3.76,68.12,64.36,-14.1698,Aufsteiger,255,10499
1930→1931,bausparer,1,9,3.76,68.12,64.36,-14.1698,Aufsteiger,255,10499
1930→1931,england,27,35,101.41,264.9,163.49,-14.101,Aufsteiger,259,10498
1930→1931,mölk,8,18,30.05,136.23,106.18,-14.0822,Aufsteiger,260,10497
1930→1931,herein,11,21,41.32,158.94,117.62,-14.0351,Aufsteiger,261,10496
1930→1931,lord,3,12,11.27,90.82,79.55,-13.8931,Aufsteiger,262,10491
1930→1931,erschießen,3,12,11.27,90.82,79.55,-13.8931,Aufsteiger,262,10491
1930→1931,hochwertig,3,12,11.27,90.82,79.55,-13.8931,Aufsteiger,262,10491
1930→1931,reichsgerichtsrat,3,12,11.27,90.82,79.55,-13.8931,Aufsteiger,262,10491
1930→1931,zarnow,3,12,11.27,90.82,79.55,-13.8931,Aufsteiger,262,10491
1930→1931,junge,20,29,75.12,219.49,144.37,-13.8646,Aufsteiger,267,10489
1930→1931,trinken,20,29,75.12,219.49,144.37,-13.8646,Aufsteiger,267,10489
1930→1931,erzählen,109,92,409.41,696.31,286.9,-13.7151,Aufsteiger,269,10488
1930→1931,zählen,19,28,71.36,211.92,140.56,-13.6955,Aufsteiger,270,10487
1930→1931,meinen,120,99,450.72,749.29,298.57,-13.6557,Aufsteiger,271,10486
1930→1931,rußland,18,27,67.61,204.35,136.74,-13.5329,Aufsteiger,272,10485
1930→1931,haus,298,207,1119.3,1566.7,447.4,-13.4959,Aufsteiger,273,10484
1930→1931,schicksal,66,63,247.9,476.82,228.92,-13.4905,Aufsteiger,274,10483
1930→1931,emsland,4,13,15.02,98.39,83.37,-13.3682,Aufsteiger,275,10481
1930→1931,reichsfinanzministerium,4,13,15.02,98.39,83.37,-13.3682,Aufsteiger,275,10481
1930→1931,krieg,110,92,413.16,696.31,283.15,-13.3012,Aufsteiger,277,10480
1930→1931,dienstag,65,62,244.14,469.25,225.11,-13.2509,Aufsteiger,278,10479
1930→1931,zirkusdirektor,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,häslein,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,siech,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,diemer,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,harnsäure,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,urzelle,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,ossowski,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,kamin,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,nervenklinik,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,zarewitsch,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,kosmisch,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,eintragungsfrist,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,kopfhaut,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,viehmärkt,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,nolte,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,drossel,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,reihenfolge,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,drohender,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,sippe,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,cameron,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,hengelbrock,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,kuckuck,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,loslösen,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,sophie,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,preisberechnung,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,versorgungsgericht,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,danziger,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,neubelebung,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,schl,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,würdelosigkeit,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,astrolog,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,zigarrenindustrie,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,hämmeren,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,zusatzpräparat,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,gegessen,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,versorgungsbehörd,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,kalifornisch,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,kriegsbeschädigten,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,rheumatiker,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,dumping,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,schiedsgericht,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,posthorn,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,stadtbild,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,muskel,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,settke,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,volkmann,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,ottokar,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,feinschmecker,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,klemperer,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,keuchhusten,0,6,0.0,45.41,45.41,-13.2436,Aufsteiger,279,10429
1930→1931,möllering,5,14,18.78,105.96,87.18,-13.031,Aufsteiger,329,10426
1930→1931,mörder,5,14,18.78,105.96,87.18,-13.031,Aufsteiger,329,10426
1930→1931,treppe,5,14,18.78,105.96,87.18,-13.031,Aufsteiger,329,10426
1930→1931,konzern,14,23,52.58,174.08,121.5,-12.9693,Aufsteiger,332,10425
1930→1931,deutschland,570,361,2140.93,2732.26,591.33,-12.9113,Aufsteiger,333,10424
1930→1931,sommer,21,29,78.88,219.49,140.61,-12.9072,Aufsteiger,334,10422
1930→1931,preisabbau,21,29,78.88,219.49,140.61,-12.9072,Aufsteiger,334,10422
1930→1931,mellerstraß,2,10,7.51,75.69,68.18,-12.8712,Aufsteiger,336,10415
1930→1931,bataillon,2,10,7.51,75.69,68.18,-12.8712,Aufsteiger,336,10415
1930→1931,verwalter,2,10,7.51,75.69,68.18,-12.8712,Aufsteiger,336,10415
1930→1931,bekanntschaft,2,10,7.51,75.69,68.18,-12.8712,Aufsteiger,336,10415
1930→1931,beschädigter,2,10,7.51,75.69,68.18,-12.8712,Aufsteiger,336,10415
1930→1931,gegr,2,10,7.51,75.69,68.18,-12.8712,Aufsteiger,336,10415
1930→1931,maus,2,10,7.51,75.69,68.18,-12.8712,Aufsteiger,336,10415
1930→1931,untersuchung,35,40,131.46,302.74,171.28,-12.8615,Aufsteiger,343,10414
1930→1931,untergang,13,22,48.83,166.51,117.68,-12.8579,Aufsteiger,344,10413
1930→1931,einschlagen,6,15,22.54,113.53,90.99,-12.8176,Aufsteiger,345,10412
1930→1931,krise,20,28,75.12,211.92,136.8,-12.7206,Aufsteiger,346,10411
1930→1931,blutbildend,7,16,26.29,121.1,94.81,-12.691,Aufsteiger,347,10408
1930→1931,packen,7,16,26.29,121.1,94.81,-12.691,Aufsteiger,347,10408
1930→1931,nervenstärkend,7,16,26.29,121.1,94.81,-12.691,Aufsteiger,347,10408
1930→1931,landstraße,11,20,41.32,151.37,110.05,-12.6869,Aufsteiger,350,10407
1930→1931,echt,87,76,326.77,575.21,248.44,-12.6493,Aufsteiger,351,10406
1930→1931,morgens,10,19,37.56,143.8,106.24,-12.6351,Aufsteiger,352,10405
1930→1931,justizminister,8,17,30.05,128.67,98.62,-12.6279,Aufsteiger,353,10404
1930→1931,vortrag,25,32,93.9,242.19,148.29,-12.6251,Aufsteiger,354,10403
1930→1931,volkswirtschaft,9,18,33.8,136.23,102.43,-12.6129,Aufsteiger,355,10402
1930→1931,heißen,62,59,232.87,446.55,213.68,-12.5322,Aufsteiger,356,10401
1930→1931,volksgenosse,41,44,154.0,333.02,179.02,-12.4358,Aufsteiger,357,10400
1930→1931,bruder,37,41,138.97,310.31,171.34,-12.3934,Aufsteiger,358,10399
1930→1931,plötzlich,48,49,180.29,370.86,190.57,-12.3828,Aufsteiger,359,10398
1930→1931,dauer,18,26,67.61,196.78,129.17,-12.3623,Aufsteiger,360,10397
1930→1931,zahlung,28,34,105.17,257.33,152.16,-12.2458,Aufsteiger,361,10396
1930→1931,lohmann,1,8,3.76,60.55,56.79,-12.1851,Aufsteiger,362,10386
1930→1931,fürstin,1,8,3.76,60.55,56.79,-12.1851,Aufsteiger,362,10386
1930→1931,neumann,1,8,3.76,60.55,56.79,-12.1851,Aufsteiger,362,10386
1930→1931,krachen,1,8,3.76,60.55,56.79,-12.1851,Aufsteiger,362,10386
1930→1931,buchner,1,8,3.76,60.55,56.79,-12.1851,Aufsteiger,362,10386
1930→1931,dreyfus,1,8,3.76,60.55,56.79,-12.1851,Aufsteiger,362,10386
1930→1931,ostjude,1,8,3.76,60.55,56.79,-12.1851,Aufsteiger,362,10386
1930→1931,schweinefleisch,1,8,3.76,60.55,56.79,-12.1851,Aufsteiger,362,10386
1930→1931,tabakgewerbe,1,8,3.76,60.55,56.79,-12.1851,Aufsteiger,362,10386
1930→1931,gefallener,1,8,3.76,60.55,56.79,-12.1851,Aufsteiger,362,10386
1930→1931,südwestafrika,3,11,11.27,83.25,71.98,-12.1496,Aufsteiger,372,10380
1930→1931,rentenmark,3,11,11.27,83.25,71.98,-12.1496,Aufsteiger,372,10380
1930→1931,rächen,3,11,11.27,83.25,71.98,-12.1496,Aufsteiger,372,10380
1930→1931,febr,3,11,11.27,83.25,71.98,-12.1496,Aufsteiger,372,10380
1930→1931,bestellzettel,3,11,11.27,83.25,71.98,-12.1496,Aufsteiger,372,10380
1930→1931,steuerfreiheit,3,11,11.27,83.25,71.98,-12.1496,Aufsteiger,372,10380
1930→1931,pfarrer,16,24,60.1,181.65,121.55,-12.0291,Aufsteiger,378,10379
1930→1931,arbeitslosigkeit,59,56,221.61,423.84,202.23,-11.8139,Aufsteiger,379,10378
1930→1931,warm,26,32,97.66,242.19,144.53,-11.8046,Aufsteiger,380,10377
1930→1931,anstatt,21,28,78.88,211.92,133.04,-11.804,Aufsteiger,381,10375
1930→1931,professor,21,28,78.88,211.92,133.04,-11.804,Aufsteiger,381,10375
1930→1931,deutsch,1587,909,5960.81,6879.85,919.04,-11.7964,Aufsteiger,383,10374
1930→1931,böhnert,14,22,52.58,166.51,113.93,-11.7296,Aufsteiger,384,10373
1930→1931,feucht,4,12,15.02,90.82,75.8,-11.7164,Aufsteiger,385,10367
1930→1931,weimar,4,12,15.02,90.82,75.8,-11.7164,Aufsteiger,385,10367
1930→1931,erwerbslosenfürsorge,4,12,15.02,90.82,75.8,-11.7164,Aufsteiger,385,10367
1930→1931,goldmark,4,12,15.02,90.82,75.8,-11.7164,Aufsteiger,385,10367
1930→1931,sausen,4,12,15.02,90.82,75.8,-11.7164,Aufsteiger,385,10367
1930→1931,luxus,4,12,15.02,90.82,75.8,-11.7164,Aufsteiger,385,10367
1930→1931,treten,143,110,537.11,832.54,295.43,-11.6377,Aufsteiger,391,10366
1930→1931,bestellgeld,25,31,93.9,234.63,140.73,-11.5862,Aufsteiger,392,10365
1930→1931,freitag,88,75,330.53,567.64,237.11,-11.5426,Aufsteiger,393,10364
1930→1931,laer,64,59,240.39,446.55,206.16,-11.5001,Aufsteiger,394,10363
1930→1931,stein,37,40,138.97,302.74,163.77,-11.4839,Aufsteiger,395,10362
1930→1931,lingen,29,34,108.92,257.33,148.41,-11.481,Aufsteiger,396,10360
1930→1931,ärztlich,29,34,108.92,257.33,148.41,-11.481,Aufsteiger,396,10360
1930→1931,alte,12,20,45.07,151.37,106.3,-11.477,Aufsteiger,398,10358
1930→1931,hinterher,12,20,45.07,151.37,106.3,-11.477,Aufsteiger,398,10358
1930→1931,humorist,5,13,18.78,98.39,79.61,-11.454,Aufsteiger,400,10355
1930→1931,schröder,5,13,18.78,98.39,79.61,-11.454,Aufsteiger,400,10355
1930→1931,ordnen,5,13,18.78,98.39,79.61,-11.454,Aufsteiger,400,10355
1930→1931,nämlich,142,109,533.36,824.98,291.62,-11.4315,Aufsteiger,403,10354
1930→1931,arbeitslos,24,30,90.14,227.06,136.92,-11.3695,Aufsteiger,404,10353
1930→1931,genau,190,138,713.64,1044.47,330.83,-11.3117,Aufsteiger,405,10352
1930→1931,wachsen,47,47,176.53,355.72,179.19,-11.3106,Aufsteiger,406,10350
1930→1931,brechen,47,47,176.53,355.72,179.19,-11.3106,Aufsteiger,406,10350
1930→1931,verkehrt,6,14,22.54,105.96,83.42,-11.303,Aufsteiger,408,10348
1930→1931,honorar,6,14,22.54,105.96,83.42,-11.303,Aufsteiger,408,10348
1930→1931,festsaal,10,18,37.56,136.23,98.67,-11.2922,Aufsteiger,410,10347
1930→1931,stürmer,7,15,26.29,113.53,87.24,-11.2292,Aufsteiger,411,10346
1930→1931,präsident,32,36,120.19,272.47,152.28,-11.2201,Aufsteiger,412,10345
1930→1931,kriminalpolizei,8,16,30.05,121.1,91.05,-11.2114,Aufsteiger,413,10344
1930→1931,geld,325,217,1220.71,1642.38,421.67,-11.2109,Aufsteiger,414,10343
1930→1931,schildern,23,29,86.39,219.49,133.1,-11.1546,Aufsteiger,415,10342
1930→1931,burgdorf,2,9,7.51,68.12,60.61,-11.0463,Aufsteiger,416,10336
1930→1931,briefträger,2,9,7.51,68.12,60.61,-11.0463,Aufsteiger,416,10336
1930→1931,regierungsbezirk,2,9,7.51,68.12,60.61,-11.0463,Aufsteiger,416,10336
1930→1931,warst,2,9,7.51,68.12,60.61,-11.0463,Aufsteiger,416,10336
1930→1931,bezugsgeld,2,9,7.51,68.12,60.61,-11.0463,Aufsteiger,416,10336
1930→1931,rituell,2,9,7.51,68.12,60.61,-11.0463,Aufsteiger,416,10336
1930→1931,alarm,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,eitrig,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,melkerverband,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,mariza,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,instanzenweg,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,lohndrückerei,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,gelman,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,richtsätz,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,klumpe,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,weiche,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,doell,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,polizeidirektion,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,nachrichtenoffizier,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,golgatha,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,abgegolten,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,historionomie,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,kerls,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,umpreßhüte,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,büchereck,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,starren,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,feurigen,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,bauernfang,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,mandelbaum,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,vertragsbeziehung,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,kriegsbeschädigte,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,sekundaner,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,hamm,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,osterhasen,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,einlagerungsschein,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,bewährend,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,jädlein,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,kulturpolitisch,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,birscht,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,kohoff,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,urin,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,potthoff,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,claus,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,orchesterprozess,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,protze,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,abendbrot,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,demagoge,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,haren,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,warenhausumsatz,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,nierenverschleimung,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,schicksalsmäßig,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,patrouille,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,schönberg,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,wehberg,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,beikommen,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
1930→1931,januarhälfte,0,5,0.0,37.84,37.84,-11.0363,Aufsteiger,422,10253
