Rang,Name,Anmerkung,Nennungen
168,Weizen 292–294,,1
169,Harte,,1
170,Humorist u. Komiker empfiehlt sich zu Hochzeiten,,1
171,Jüngerer nücht. Chauffeur,,1
172,Pferd gesucht. Ang. m. Preis a. d. Gesch. d. St.-W,,1
173,Bau- und Hypothekengelder zinsfrei,,1
174,Gute Weide. Nikolaiort 41,,1
175,Hut-Meyer (Johannisstr. 10),,1
176,Thörner (Kommenderiestr. 35),,1
177,Reformhaus (Krahnstr. 32a),,1
178,Weizen 277,,1
179,Weizen 147–147,,1
180,Roggen 187,,1
181,Weizen 265–267–272,,1
182,A. Best,,1
183,Germania (Lohstr. 25),,1
184,Marie Schlüter,,1
185,Heinrich Lagemann,,1
186,Eine Flickfrau gesucht,,1
187,Weizen 280,,1
188,Weizen 144–145,,1
189,Roggen 190,,1
190,Weizen 275–290,,1
191,Germania Anbau,,1
192,Zur Butenburg (Gildewart 12),,1
193,A. Becker (Fischhalle,,1
194,Wer schenkt armer Familie gebrauchte Sachen,,1
195,Prima Schäferhund,,1
196,Kohlmeier,,1
197,Bau- und Hypothekengelder zinsfrei. A. Winkelmann,,1
198,Messer- und Scheren-Schleiferei Carl Voos,,1
199,Eduard Daphi (Großestr. 82/83),,1
200,Das Delikatessen- u. Kolonialwarengeschäft,,1
