Dokument,Gruppe,Dominantes_Thema,Themenanteil,Thema_1,Thema_2,Thema_3,Thema_4,Thema_5,Thema_6,Thema_7,Thema_8
OCR 24. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.6988576519462922,6.15462575837778e-05,6.164357558880433e-05,6.162085313487786e-05,6.154625758686835e-05,6.154625757947432e-05,0.6988576519462922,0.03772354006405255,0.2631109047881815
OCR 25. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.530985949148254,6.14252906328066e-05,6.153830069630357e-05,6.149405247181536e-05,6.142529063528155e-05,6.14252906284585e-05,0.530985949148254,0.04337929542535926,0.42532744720132193
OCR 25_26. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.6787564957592817,4.57374520226629e-05,4.581368527999078e-05,4.5798458513144754e-05,4.573745202490493e-05,4.573745201951748e-05,0.6787564957592817,0.052083655660819905,0.26893102408003833
OCR 26. Ausgabe 1930-1-1.txt,documents-export-2026-02-23 (1),6,0.5141919808123987,5.2040163478845685e-05,5.2136339573572485e-05,5.206802750775955e-05,5.2040163481576336e-05,5.204016347475934e-05,0.5141919808123987,0.05046644577297423,0.4350812485571106
OCR 26. Ausgabe Stadtwächter-1.txt,documents-export-2026-02-23 (1),6,0.6397918721700135,0.000145858142973403,0.00014614174151286353,0.00014601367705096706,0.00014585814298843081,0.00014585814296402634,0.6397918721700135,0.00014613047337185857,0.3593322675091249
OCR 27. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.574821468074092,5.54571717257421e-05,5.5552874755540694e-05,5.5502749432125636e-05,5.545717172855441e-05,5.545717172157947e-05,0.574821468074092,0.031984070954224626,0.3929170338323198
OCR 27. Ausgabe Stadtwächter_001-1.txt,documents-export-2026-02-23 (1),6,0.44809512207530616,0.00015625057666634947,0.00015653119265040435,0.00015634888154234918,0.00015625057667918344,0.0001562505766557204,0.44809512207530616,0.14880988235838555,0.4023133637621143
OCR 27._28. Ausgabe 1931.txt,documents-export-2026-02-23 (1),6,0.7466425036368733,3.934543777635113e-05,0.014501688907334614,3.938519875554492e-05,3.9345437778718296e-05,3.934543777345307e-05,0.7466425036368733,0.02218642054040806,0.2165119654032999
OCR 28. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.5028805506303349,5.846607660044086e-05,5.857027662552019e-05,5.850538941239927e-05,5.846607660330065e-05,5.846607659647254e-05,0.5028805506303349,0.0757755220746818,0.42105145339914524
OCR 28. Ausgabe Stadtwächter_001-1.txt,documents-export-2026-02-23 (1),6,0.5352393984410675,0.00014400975089972408,0.00014429497671667252,0.00014425751420738778,0.00014400975091248577,0.00014400975089582036,0.5352393984410675,0.09688170615351667,0.3671583136617839
OCR 29. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.5780503314972363,5.002018792518309e-05,5.0115836567530314e-05,5.005378000382544e-05,5.002018792775833e-05,5.002018792090264e-05,0.5780503314972363,0.03142026355398612,0.39027917476843255
OCR 29. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.8351630889787274,6.112491440000344e-05,6.123698819081723e-05,6.117579835887006e-05,6.112491440415308e-05,6.112491439707258e-05,0.8351630889787274,6.124478303373574e-05,0.16446987870848798
