Nr,Datei,Treffer-Wortform,Kontext
34,08. Ausgabe 1930.txt,Sozialdemokraten,"
 Auf die albernen Bemerkungen eines Sozialdemokraten Haas einzugehen , lohnt sich nun"
35,08. Ausgabe 1930.txt,Sozialdemokrat,"gutes Beispiel 
 Robert Schmidt , Sozialdemokrat und bereits mehrfach Minister , eine"
36,08. Ausgabe 1930.txt,sozialdemokratischen,"in die Arbeiterbewegung . Die 
 sozialdemokratischen Redakteure trieben mit dem arbeitenden Volke"
37,08. Ausgabe 1931-1.txt,sozialdemokratisch,"“ den Melkerverband dauernd als 
 sozialdemokratisch bezeichnete . Durch mehrere Instanzen laufend"
38,08. Ausgabe 1931-1.txt,sozialdemokratische,"dass tatsächlich die freien 
 Gewerkschaften sozialdemokratische Gewerkschaften sind . So auch der"
39,08. Ausgabe 1931-1.txt,sozialdemokratisch,"
 Paragraph 2 seiner Satzungen sich sozialdemokratisch betätigt , die Ziele der 
"
40,08. Ausgabe 1931-1.txt,Sozialdemokratischen,"betätigt , die Ziele der 
 Sozialdemokratischen Partei fördert , also ein sozialdemokratischer"
41,08. Ausgabe 1931-1.txt,sozialdemokratischer,"Sozialdemokratischen Partei fördert , also ein sozialdemokratischer Verband im Sinne der 
 Behauptung"
42,09. Ausgabe 1930-1.txt,Sozialdemokraten,"Keine 10 Minuten . Die 
 Sozialdemokraten bringen am Schluss der Sitzung eine"
43,09. Ausgabe 1930-1.txt,Sozialdemokratische,"dann die christliche Arbeitsgemeinschaft , 
 Sozialdemokratische und Z-Fraktion [ Zentrums-Fraktion ] nebst"
44,09. Ausgabe 1930-2.txt,Sozialdemokraten,"Keine 10 Minuten . Die 
 Sozialdemokraten bringen am Schluss der Sitzung eine"
45,09. Ausgabe 1930-2.txt,Sozialdemokratische,"dann die christliche Arbeitsgemeinschaft , 
 Sozialdemokratische und Z-Fraktion [ Zentrums-Fraktion ] nebst"
46,09. Ausgabe 1931-1.txt,Sozialdemokrat,"August Winnig , der 
 frühere Sozialdemokrat , ist einer der besten Kenner"
47,09. Ausgabe 1931-1.txt,Sozialdemokratie,"jüdisches Schutzbedürfnis beteiligt ist . Die Sozialdemokratie 
 nimmt sie gern auf ."
48,09. Ausgabe 1931-1.txt,sozialdemokratische,"staatlicher Ämter kommt den Juden der sozialdemokratische 
 Einfluss zugute . Jüdische Autoren"
49,09. Ausgabe 1931-1.txt,sozialdemokratischer,"hatte seinen Beruf aufgegeben , um sozialdemokratischer Redakteur für kleines 
 Geld ,"
50,09. Ausgabe 1931-1.txt,Sozialdemokrat,", warum er als Jude 
 Sozialdemokrat geworden sei . Die Antwort war"
